# ell TT TE EE BB
145 1.221336e+00 -1.319369e-02 3.245118e-04 2.038134e-06
146 1.214267e+00 -1.305541e-02 3.193252e-04 2.040470e-06
147 1.207235e+00 -1.291330e-02 3.141167e-04 2.042844e-06
148 1.200238e+00 -1.276745e-02 3.088904e-04 2.045255e-06
149 1.193275e+00 -1.261796e-02 3.036502e-04 2.047702e-06
150 1.186344e+00 -1.246491e-02 2.984004e-04 2.050182e-06
151 1.179442e+00 -1.230841e-02 2.931449e-04 2.052696e-06
152 1.172569e+00 -1.214855e-02 2.878879e-04 2.055241e-06
153 1.165722e+00 -1.198541e-02 2.826333e-04 2.057817e-06
154 1.158899e+00 -1.181909e-02 2.773852e-04 2.060421e-06
155 1.152099e+00 -1.164968e-02 2.721478e-04 2.063054e-06
156 1.145319e+00 -1.147729e-02 2.669250e-04 2.065713e-06
157 1.138558e+00 -1.130199e-02 2.617210e-04 2.068397e-06
158 1.131813e+00 -1.112388e-02 2.565397e-04 2.071105e-06
159 1.125084e+00 -1.094306e-02 2.513853e-04 2.073836e-06
160 1.118368e+00 -1.075962e-02 2.462618e-04 2.076589e-06
161 1.111663e+00 -1.057365e-02 2.411732e-04 2.079362e-06
162 1.104969e+00 -1.038524e-02 2.361231e-04 2.082154e-06
163 1.098285e+00 -1.019449e-02 2.311151e-04 2.084963e-06
164 1.091610e+00 -1.000148e-02 2.261526e-04 2.087790e-06
165 1.084943e+00 -9.806311e-03 2.212393e-04 2.090632e-06
166 1.078285e+00 -9.609070e-03 2.163786e-04 2.093488e-06
167 1.071633e+00 -9.409850e-03 2.115741e-04 2.096358e-06
168 1.064989e+00 -9.208743e-03 2.068293e-04 2.099240e-06
169 1.058350e+00 -9.005839e-03 2.021478e-04 2.102133e-06
170 1.051716e+00 -8.801230e-03 1.975330e-04 2.105035e-06
171 1.045087e+00 -8.595008e-03 1.929885e-04 2.107947e-06
172 1.038461e+00 -8.387265e-03 1.885179e-04 2.110865e-06
173 1.031839e+00 -8.178091e-03 1.841247e-04 2.113790e-06
174 1.025220e+00 -7.967579e-03 1.798124e-04 2.116721e-06
175 1.018602e+00 -7.755820e-03 1.755845e-04 2.119655e-06
176 1.011985e+00 -7.542905e-03 1.714446e-04 2.122592e-06
177 1.005369e+00 -7.328927e-03 1.673963e-04 2.125531e-06
178 9.987530e-01 -7.113976e-03 1.634430e-04 2.128470e-06
179 9.921360e-01 -6.898145e-03 1.595882e-04 2.131409e-06
180 9.855175e-01 -6.681522e-03 1.558354e-04 2.134346e-06
181 9.788977e-01 -6.464189e-03 1.521869e-04 2.137280e-06
182 9.722765e-01 -6.246227e-03 1.486451e-04 2.140209e-06
183 9.656540e-01 -6.027715e-03 1.452122e-04 2.143132e-06
184 9.590304e-01 -5.808732e-03 1.418904e-04 2.146047e-06
185 9.524057e-01 -5.589359e-03 1.386821e-04 2.148953e-06
186 9.457800e-01 -5.369675e-03 1.355894e-04 2.151848e-06
187 9.391534e-01 -5.149759e-03 1.326147e-04 2.154730e-06
188 9.325259e-01 -4.929692e-03 1.297602e-04 2.157600e-06
189 9.258978e-01 -4.709554e-03 1.270282e-04 2.160454e-06
190 9.192689e-01 -4.489423e-03 1.244209e-04 2.163291e-06
191 9.126395e-01 -4.269380e-03 1.219407e-04 2.166110e-06
192 9.060097e-01 -4.049504e-03 1.195896e-04 2.168909e-06
193 8.993794e-01 -3.829876e-03 1.173701e-04 2.171687e-06
194 8.927488e-01 -3.610574e-03 1.152844e-04 2.174443e-06
195 8.861179e-01 -3.391679e-03 1.133347e-04 2.177174e-06
196 8.794870e-01 -3.173270e-03 1.115233e-04 2.179880e-06
197 8.728559e-01 -2.955428e-03 1.098525e-04 2.182558e-06
198 8.662249e-01 -2.738231e-03 1.083245e-04 2.185208e-06
199 8.595940e-01 -2.521759e-03 1.069417e-04 2.187828e-06
200 8.529633e-01 -2.306093e-03 1.057061e-04 2.190415e-06
201 8.463329e-01 -2.091308e-03 1.046199e-04 2.192970e-06
202 8.397033e-01 -1.877466e-03 1.036838e-04 2.195491e-06
203 8.330749e-01 -1.664626e-03 1.028981e-04 2.197976e-06
204 8.264483e-01 -1.452846e-03 1.022634e-04 2.200423e-06
205 8.198238e-01 -1.242185e-03 1.017801e-04 2.202833e-06
206 8.132020e-01 -1.032701e-03 1.014487e-04 2.205202e-06
207 8.065834e-01 -8.244515e-04 1.012696e-04 2.207531e-06
208 7.999684e-01 -6.174960e-04 1.012432e-04 2.209818e-06
209 7.933575e-01 -4.118926e-04 1.013700e-04 2.212061e-06
210 7.867512e-01 -2.076997e-04 1.016504e-04 2.214260e-06
211 7.801500e-01 -4.975669e-06 1.020850e-04 2.216412e-06
212 7.735544e-01 1.962211e-04 1.026740e-04 2.218517e-06
